system:time_start,ResultantVelocity,MangroveIndex
28-02-2019,0.669806452,0.195136035
31-03-2019,1.247642857,0.18966002
30-04-2019,2.183516129,0.130640863
31-05-2019,2.5931,0.131873825
30-06-2019,4.003935484,0.203638625
31-07-2019,2.8699,0.190589149
31-08-2019,4.818290323,0.285313164
30-09-2019,2.910193548,0.281531614
31-10-2019,3.410233333,0.277750064
30-11-2019,1.517096774,0.05947045
31-12-2019,1.946766667,0.077286124
31-01-2020,0.961870968,0.078712026
29-02-2020,0.908,0.036060852
31-03-2020,1.334793103,0.103982993
30-04-2020,2.226483871,0.033964113
31-05-2020,3.0239,0.099708067
30-06-2020,3.39616129,0.118679737
31-07-2020,3.7608,0.308223161
31-08-2020,3.958387097,0.189496846
30-09-2020,3.319548387,0.223060203
31-10-2020,2.736066667,0.169657439
30-11-2020,3.001451613,0.219312307
31-12-2020,1.526633333,0.179232637
