system:index,NDVI,date,.geo
LC08_138045_20190114,0.27704963199118354,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190130,0.3309022637830812,2019-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190215,0.3231738217621082,2019-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190303,0.29889575145049596,2019-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190319,0.23982655103402267,2019-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190404,,2019-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190420,0.37693968425313723,2019-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190506,0.32667339387823746,2019-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190522,,2019-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190623,0.2342242019302153,2019-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190709,,2019-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190725,,2019-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190810,,2019-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190826,,2019-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191013,0.40869508067431237,2019-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191029,0.3942959001782531,2019-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191114,0.16569034410521008,2019-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191130,0.2129761340287656,2019-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191216,0.23847895322512566,2019-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200101,0.22264553489789699,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200117,0.23239544895448955,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200202,0.18375696049092768,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200218,0.21040606084899988,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200305,,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200321,,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200406,0.26712014943784584,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200422,,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200508,0.3560041791648411,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200524,0.1489584423741233,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200609,,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200625,,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200711,,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200727,0.3475461809711753,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200812,0.3119072708113804,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200828,0.22870027379610244,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200913,0.347858914895912,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200929,0.3982800137598899,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201015,,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201031,0.2566644502206371,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201116,0.35144300144300145,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201202,0.33069021445305463,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201218,0.2852703542573027,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
