system:index,NDVI,date,.geo
LC08_138045_20190114,0.27000505606693403,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190130,0.3267214981291697,2019-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190215,0.31967927872446256,2019-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190303,0.289067217020558,2019-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190319,0.2418770470961214,2019-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190404,,2019-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190420,0.3737866368737717,2019-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190506,0.3349976480514614,2019-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190522,,2019-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190623,0.2768825736400445,2019-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190709,,2019-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190725,,2019-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190810,,2019-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190826,,2019-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191013,0.4064773895589286,2019-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191029,0.3952680637257441,2019-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191114,0.16727903254058693,2019-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191130,0.21075022132390445,2019-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191216,0.23362928403423794,2019-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200101,0.2139130697524072,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200117,0.22568035553419338,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200202,0.1824441244800197,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200218,0.20086546873446262,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200305,,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200321,,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200406,0.26006183885622786,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200422,,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200508,0.35095459734173695,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200524,0.14525142933718527,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200609,,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200625,,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200711,,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200727,0.34067643407753884,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200812,0.27498517346453377,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200828,0.2093161713927914,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200913,0.34313500162445076,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200929,0.3925733153038075,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201015,,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201031,0.25104545488067137,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201116,0.35073316890266965,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201202,0.32962535408272403,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201218,0.2825473144554643,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210103,0.30755616754121795,2021-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210119,0.1531749136895229,2021-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210204,0.3305844622494407,2021-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210308,0.27549557214542963,2021-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210324,0.21932931942507447,2021-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210409,0.2832067171783689,2021-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210425,0.32418689016606994,2021-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210511,0.3579625359417474,2021-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210527,0.23714627724895307,2021-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210612,,2021-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210628,0.3657540829671285,2021-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210714,0.3996594103062161,2021-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210815,,2021-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210831,0.4010183149916288,2021-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210916,0.286726617186264,2021-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211002,0.12970746119595522,2021-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211103,0.3459775076044122,2021-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211119,0.29842620795213,2021-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211221,0.3270028291894609,2021-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
