system:index,NDVI,date,.geo
LC08_138045_20190114,0.3111490072729949,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190130,0.584705640919572,2019-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190215,0.5135909965005131,2019-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190303,0.5069148083401702,2019-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190319,0.34418881940849,2019-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190404,,2019-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190420,0.6440376628093255,2019-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190506,0.5284318305017458,2019-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190522,,2019-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190623,0.47662243956901595,2019-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190709,,2019-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190725,,2019-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190810,,2019-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20190826,,2019-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191013,0.5297689399907446,2019-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191029,0.6768967825272056,2019-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191114,0.30379249933842567,2019-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191130,0.4010976749364052,2019-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20191216,0.411990648062624,2019-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200101,0.3860639859981231,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200117,0.4171043512026872,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200202,0.24354557029476442,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200218,0.3311073298934887,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200305,,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200321,,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200406,0.4635726875128622,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200422,,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200508,0.614923162841192,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200524,0.2606940202226891,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200609,,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200625,,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200711,,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200727,0.443439856557117,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200812,0.4379929688642044,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200828,0.32981689092541616,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200913,0.6266607751808616,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20200929,0.703844569102395,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201015,,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201031,0.36474408312796175,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201116,0.5951731251460081,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201202,0.5049419329936784,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20201218,0.3529323409267347,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210103,0.5349098429800859,2021-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210119,0.15751245826312413,2021-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210204,0.5520044696094826,2021-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210308,0.4568147517674953,2021-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210324,0.28399376056868736,2021-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210409,0.34078720956895003,2021-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210425,0.5266904279712012,2021-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210511,0.5587661828434634,2021-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210527,0.23338208831284143,2021-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210612,,2021-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210628,0.592186161786172,2021-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210714,0.706413885809166,2021-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210815,,2021-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210831,0.7181851338225466,2021-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20210916,0.46941251038123266,2021-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211002,0.24233756042891108,2021-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211103,0.5742593918077347,2021-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211119,0.6356572972940088,2021-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_138045_20211221,0.4399181598686109,2021-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
