system:time_start,p25,Median,IQR
"Jan 1, 2019",,,
"Jan 7, 2019",30.105,58.755,88.549
"Jan 16, 2019",42.901,49.083,67.059
"Jan 25, 2019",22.307,31.209,53.989
"Feb 3, 2019",41.9,46.84,55.141
"Feb 12, 2019",27.338,46.236,59.908
"Feb 21, 2019",20.281,28.256,36.834
"Mar 2, 2019",23.692,25.986,30.371
"Mar 11, 2019",24.933,28.525,33.3
"Mar 20, 2019",22.805,26.905,31.987
"Mar 29, 2019",24.071,27.307,30.943
"Apr 7, 2019",15.636,29.523,33.64
"Apr 16, 2019",20.336,24.088,30.277
"Apr 25, 2019",14.575,18.351,20.651
"May 4, 2019",16.606,21.308,23.821
"May 13, 2019",15.739,18.177,18.819
"May 22, 2019",14.912,18.842,22.771
"May 31, 2019",15.473,18.844,25.248
"Jun 9, 2019",14.303,14.303,14.303
"Jun 18, 2019",29.966,43.18,56.393
"Jun 27, 2019",9.519,13.04,14.565
"Jul 6, 2019",,,
"Jul 15, 2019",18.111,19.948,21.425
"Jul 24, 2019",11.768,16.732,20.984
"Aug 2, 2019",,,
"Aug 11, 2019",22.718,22.718,22.718
"Aug 20, 2019",18.785,20.539,22.625
"Aug 29, 2019",14.415,14.677,14.938
"Sep 7, 2019",13.607,13.607,13.607
"Sep 16, 2019",15.737,19.208,21.486
"Sep 25, 2019",29.076,29.076,29.076
"Oct 4, 2019",23.68,27.637,32.562
"Oct 13, 2019",27.983,27.983,27.983
"Oct 22, 2019",13.951,13.966,13.982
"Oct 31, 2019",29.651,33.08,44.182
"Nov 9, 2019",16.685,26.69,33.813
"Nov 18, 2019",24.445,28.891,37.607
"Nov 27, 2019",21.616,23.846,33.244
"Dec 6, 2019",14.149,21.406,32.704
"Dec 15, 2019",19.396,23.333,27.917
"Dec 24, 2019",26.961,54.769,113.224
"Jan 2, 2020",28.429,32.509,39.607
"Jan 11, 2020",34.801,47.115,58.045
"Jan 20, 2020",18.483,24.52,29.318
"Jan 29, 2020",33.652,37.419,41.956
"Feb 7, 2020",24.118,36.544,48.97
"Feb 16, 2020",21.422,36.409,56.557
"Feb 25, 2020",17.81,26.531,38.776
"Mar 5, 2020",20.199,21.691,26.455
"Mar 14, 2020",29.663,33.953,36.891
"Mar 23, 2020",22.931,28.193,31.242
"Apr 1, 2020",29.456,39.992,52.153
"Apr 10, 2020",12.631,17.145,21.541
"Apr 19, 2020",12.631,18.098,23.592
"Apr 28, 2020",15.566,19.385,23.699
"May 7, 2020",15.513,20.825,24.147
"May 16, 2020",10.405,15.674,18.586
"May 25, 2020",13.929,17.51,21.173
"Jun 3, 2020",21.884,23.188,24.488
"Jun 12, 2020",15.126,15.126,15.126
"Jun 21, 2020",15.125,16.635,17.936
"Jun 30, 2020",16.716,18.414,20.168
"Jul 9, 2020",18.556,18.556,18.556
"Jul 18, 2020",33.578,33.578,33.578
"Jul 27, 2020",,,
"Aug 5, 2020",17.151,17.151,17.151
"Aug 14, 2020",10.235,12.776,15.317
"Aug 23, 2020",,,
"Sep 1, 2020",11.234,13.336,15.437
"Sep 10, 2020",14.024,16.138,23.601
"Sep 19, 2020",15.717,17.792,19.867
"Sep 28, 2020",13.398,17.106,20.814
"Oct 7, 2020",10.481,13.696,18.761
"Oct 16, 2020",4.022,13.336,19.554
"Oct 25, 2020",,,
"Nov 3, 2020",28.132,37.342,45.671
"Nov 12, 2020",19.739,25.786,31.419
"Nov 21, 2020",14.021,21.395,38.71
"Nov 30, 2020",38.034,42.744,50.854
"Dec 9, 2020",23.347,30.02,37.527
"Dec 18, 2020",34.282,45.846,56.773
"Dec 27, 2020",39.971,51.139,62.421
"Dec 31, 2020",,,
