system:time_start,ResultantVelocity
"Jan 1, 2019",0.89
"Jan 2, 2019",0.632
"Jan 3, 2019",0.609
"Jan 4, 2019",0.369
"Jan 5, 2019",0.15
"Jan 6, 2019",0.05
"Jan 7, 2019",0.303
"Jan 8, 2019",1.192
"Jan 9, 2019",0.233
"Jan 10, 2019",0.282
"Jan 11, 2019",0.13
"Jan 12, 2019",0.277
"Jan 13, 2019",1.052
"Jan 14, 2019",1.143
"Jan 15, 2019",0.97
"Jan 16, 2019",0.474
"Jan 17, 2019",1.181
"Jan 18, 2019",1.903
"Jan 19, 2019",1.506
"Jan 20, 2019",1.657
"Jan 21, 2019",1.026
"Jan 22, 2019",0.871
"Jan 23, 2019",0.057
"Jan 24, 2019",0.226
"Jan 25, 2019",0.107
"Jan 26, 2019",0.803
"Jan 27, 2019",1.124
"Jan 28, 2019",0.628
"Jan 29, 2019",0.105
"Jan 30, 2019",0.193
"Jan 31, 2019",0.621
"Feb 1, 2019",1.492
"Feb 2, 2019",2.219
"Feb 3, 2019",0.172
"Feb 4, 2019",1
"Feb 5, 2019",1.238
"Feb 6, 2019",1.006
"Feb 7, 2019",0.189
"Feb 8, 2019",0.997
"Feb 9, 2019",0.741
"Feb 10, 2019",0.615
"Feb 11, 2019",0.518
"Feb 12, 2019",0.095
"Feb 13, 2019",1.277
"Feb 14, 2019",1.416
"Feb 15, 2019",1.613
"Feb 16, 2019",1.493
"Feb 17, 2019",1.768
"Feb 18, 2019",1.08
"Feb 19, 2019",0.131
"Feb 20, 2019",2.472
"Feb 21, 2019",2.612
"Feb 22, 2019",2.92
"Feb 23, 2019",2.14
"Feb 24, 2019",1.664
"Feb 25, 2019",2.464
"Feb 26, 2019",1.401
"Feb 27, 2019",0.132
"Feb 28, 2019",0.069
"Mar 1, 2019",2.246
"Mar 2, 2019",1.202
"Mar 3, 2019",1.374
"Mar 4, 2019",2.064
"Mar 5, 2019",0.453
"Mar 6, 2019",0.869
"Mar 7, 2019",1.445
"Mar 8, 2019",0.891
"Mar 9, 2019",2.6
"Mar 10, 2019",2.24
"Mar 11, 2019",2.608
"Mar 12, 2019",3.209
"Mar 13, 2019",1.996
"Mar 14, 2019",0.513
"Mar 15, 2019",0.34
"Mar 16, 2019",3.582
"Mar 17, 2019",1.258
"Mar 18, 2019",3.395
"Mar 19, 2019",4.428
"Mar 20, 2019",3.641
"Mar 21, 2019",3.847
"Mar 22, 2019",4.56
"Mar 23, 2019",2.385
"Mar 24, 2019",1.269
"Mar 25, 2019",2.903
"Mar 26, 2019",1.549
"Mar 27, 2019",0.057
"Mar 28, 2019",1.964
"Mar 29, 2019",2.855
"Mar 30, 2019",3.393
"Mar 31, 2019",2.553
"Apr 1, 2019",2.064
"Apr 2, 2019",3.952
"Apr 3, 2019",2.127
"Apr 4, 2019",2.668
"Apr 5, 2019",1.736
"Apr 6, 2019",0.823
"Apr 7, 2019",2.841
"Apr 8, 2019",4.473
"Apr 9, 2019",4.027
"Apr 10, 2019",2.812
"Apr 11, 2019",1.426
"Apr 12, 2019",0.359
"Apr 13, 2019",0.502
"Apr 14, 2019",1.432
"Apr 15, 2019",3.274
"Apr 16, 2019",1.608
"Apr 17, 2019",2.095
"Apr 18, 2019",2.268
"Apr 19, 2019",3.173
"Apr 20, 2019",3.473
"Apr 21, 2019",2.922
"Apr 22, 2019",0.737
"Apr 23, 2019",1.062
"Apr 24, 2019",1.772
"Apr 25, 2019",3.079
"Apr 26, 2019",3.618
"Apr 27, 2019",3.986
"Apr 28, 2019",4.561
"Apr 29, 2019",5.129
