system:time_start,mm
2019-01-31,4.015000000000001
2019-02-28,33.875
2019-03-31,17.788
2019-04-30,41.486
2019-05-31,51.208
2019-06-30,95.92099999999999
2019-07-31,165.721
2019-08-31,243.771
2019-09-30,270.657
2019-10-31,122.254
2019-11-30,35.694
2019-12-31,3.866
2020-01-31,10.591
2020-02-29,8.288
2020-03-31,26.88
2020-04-30,48.054
2020-05-31,125.654
2020-06-30,141.977
2020-07-31,174.169
2020-08-31,315.79
2020-09-30,95.322
2020-10-31,114.42999999999999
2020-11-30,12.02
2020-12-31,2.545
