system:time_start,mm
"Jan 1, 2019",0.674
"Jan 6, 2019",0.59
"Jan 11, 2019",0.536
"Jan 16, 2019",0.541
"Jan 21, 2019",0.63
"Jan 26, 2019",1.044
"Feb 1, 2019",2.294
"Feb 6, 2019",3.237
"Feb 11, 2019",2.119
"Feb 16, 2019",3.59
"Feb 21, 2019",21.065
"Feb 26, 2019",1.57
"Mar 1, 2019",3.991
"Mar 6, 2019",2.63
"Mar 11, 2019",2.235
"Mar 16, 2019",2.692
"Mar 21, 2019",2.828
"Mar 26, 2019",3.412
"Apr 1, 2019",5.388
"Apr 6, 2019",27.225
"Apr 11, 2019",3.428
"Apr 16, 2019",1.943
"Apr 21, 2019",2.212
"Apr 26, 2019",1.29
"May 1, 2019",38.55
"May 6, 2019",1.146
"May 11, 2019",1.698
"May 16, 2019",1.129
"May 21, 2019",6.954
"May 26, 2019",1.731
"Jun 1, 2019",31.715
"Jun 6, 2019",16.685
"Jun 11, 2019",11.352
"Jun 16, 2019",12.493
"Jun 21, 2019",8.635
"Jun 26, 2019",15.041
"Jul 1, 2019",48.512
"Jul 6, 2019",23.213
"Jul 11, 2019",26.244
"Jul 16, 2019",1.138
"Jul 21, 2019",18.208
"Jul 26, 2019",48.406
"Aug 1, 2019",34.137
"Aug 6, 2019",29.563
"Aug 11, 2019",48.966
"Aug 16, 2019",67.833
"Aug 21, 2019",36.368
"Aug 26, 2019",26.904
"Sep 1, 2019",26.355
"Sep 6, 2019",45.913
"Sep 11, 2019",51.467
"Sep 16, 2019",0.894
"Sep 21, 2019",84.976
"Sep 26, 2019",61.052
"Oct 1, 2019",17.717
"Oct 6, 2019",29.038
"Oct 11, 2019",1.321
"Oct 16, 2019",2.662
"Oct 21, 2019",70.542
"Oct 26, 2019",0.974
"Nov 1, 2019",0.868
"Nov 6, 2019",31.704
"Nov 11, 2019",0.66
"Nov 16, 2019",0.784
"Nov 21, 2019",0.833
"Nov 26, 2019",0.845
"Dec 1, 2019",0.774
"Dec 6, 2019",0.601
"Dec 11, 2019",0.549
"Dec 16, 2019",0.544
"Dec 21, 2019",0.747
"Dec 26, 2019",0.651
"Jan 1, 2020",3.683
"Jan 6, 2020",0.837
"Jan 11, 2020",0.968
"Jan 16, 2020",0.781
"Jan 21, 2020",0.907
"Jan 26, 2020",3.415
"Feb 1, 2020",1.3
"Feb 6, 2020",1.589
"Feb 11, 2020",1.243
"Feb 16, 2020",1.325
"Feb 21, 2020",1.577
"Feb 26, 2020",1.254
"Mar 1, 2020",4.446
"Mar 6, 2020",3.673
"Mar 11, 2020",2.621
"Mar 16, 2020",10.65
"Mar 21, 2020",3.493
"Mar 26, 2020",1.997
"Apr 1, 2020",1.69
"Apr 6, 2020",1.744
"Apr 11, 2020",3.98
"Apr 16, 2020",11.186
"Apr 21, 2020",24.599
"Apr 26, 2020",4.855
"May 1, 2020",25.061
"May 6, 2020",7.225
"May 11, 2020",4.224
"May 16, 2020",38.149
"May 21, 2020",1.207
"May 26, 2020",49.788
"Jun 1, 2020",14.368
"Jun 6, 2020",8.542
"Jun 11, 2020",53.231
"Jun 16, 2020",31.687
"Jun 21, 2020",9.005
"Jun 26, 2020",25.144
"Jul 1, 2020",11.048
"Jul 6, 2020",23.968
"Jul 11, 2020",41.145
"Jul 16, 2020",10.645
"Jul 21, 2020",62.348
"Jul 26, 2020",25.015
"Aug 1, 2020",33.912
"Aug 6, 2020",26.174
"Aug 11, 2020",11.396
"Aug 16, 2020",94.062
"Aug 21, 2020",94.595
"Aug 26, 2020",55.651
"Sep 1, 2020",12.848
"Sep 6, 2020",10.456
"Sep 11, 2020",2.039
"Sep 16, 2020",21.706
"Sep 21, 2020",47.483
"Sep 26, 2020",0.79
"Oct 1, 2020",34.535
"Oct 6, 2020",23.647
"Oct 11, 2020",0.962
"Oct 16, 2020",16.315
"Oct 21, 2020",30.833
"Oct 26, 2020",8.138
"Nov 1, 2020",0.928
"Nov 6, 2020",0.736
"Nov 11, 2020",0.666
"Nov 16, 2020",0.791
"Nov 21, 2020",8.046
"Nov 26, 2020",0.853
"Dec 1, 2020",0.579
"Dec 6, 2020",0.438
"Dec 11, 2020",0.4
"Dec 16, 2020",0.396
"Dec 21, 2020",0.374
"Dec 26, 2020",0.358
